2021-03-18 21:51:15 status unpacked libidn2-0:armhf 2.0.5-1+deb10u1
2021-03-18 21:51:16 install libseccomp2:armhf <none> 2.3.3-4
2021-03-18 21:51:16 status half-installed libseccomp2:armhf 2.3.3-4
2021-03-18 21:51:16 status unpacked libseccomp2:armhf 2.3.3-4
2021-03-18 21:51:17 install libselinux1:armhf <none> 2.8-1+b1
2021-03-18 21:51:17 status half-installed libselinux1:armhf 2.8-1+b1
2021-03-18 21:51:17 status unpacked libselinux1:armhf 2.8-1+b1
2021-03-18 21:51:18 install libsemanage-common:all <none> 2.8-2
2021-03-18 21:51:18 status half-installed libsemanage-common:all 2.8-2
2021-03-18 21:51:18 status unpacked libsemanage-common:all 2.8-2
2021-03-18 21:51:19 install libsemanage1:armhf <none> 2.8-2
2021-03-18 21:51:19 status half-installed libsemanage1:armhf 2.8-2
2021-03-18 21:51:19 status unpacked libsemanage1:armhf 2.8-2
2021-03-18 21:51:20 install libsepol1:armhf <none> 2.8-1
2021-03-18 21:51:20 status half-installed libsepol1:armhf 2.8-1
2021-03-18 21:51:21 status unpacked libsepol1:armhf 2.8-1
2021-03-18 21:51:21 install libtasn1-6:armhf <none> 4.13-3
2021-03-18 21:51:21 status half-installed libtasn1-6:armhf 4.13-3
2021-03-18 21:51:22 status unpacked libtasn1-6:armhf 4.13-3
2021-03-18 21:51:23 install libunistring2:armhf <none> 0.9.10-1
2021-03-18 21:51:23 status half-installed libunistring2:armhf 0.9.10-1
2021-03-18 21:51:23 status unpacked libunistring2:armhf 0.9.10-1
2021-03-18 21:51:24 install libzstd1:armhf <none> 1.3.8+dfsg-3
2021-03-18 21:51:24 status half-installed libzstd1:armhf 1.3.8+dfsg-3
2021-03-18 21:51:25 status unpacked libzstd1:armhf 1.3.8+dfsg-3
2021-03-18 21:51:25 install liblz4-1:armhf <none> 1.8.3-1
2021-03-18 21:51:25 status half-installed liblz4-1:armhf 1.8.3-1
2021-03-18 21:51:26 status unpacked liblz4-1:armhf 1.8.3-1
2021-03-18 21:51:26 upgrade mawk:armhf 1.3.3-17+b3 1.3.3-17+b3
2021-03-18 21:51:26 status half-configured mawk:armhf 1.3.3-17+b3
2021-03-18 21:51:26 status unpacked mawk:armhf 1.3.3-17+b3
2021-03-18 21:51:27 status half-installed mawk:armhf 1.3.3-17+b3
2021-03-18 21:51:27 status unpacked mawk:armhf 1.3.3-17+b3
2021-03-18 21:51:28 install libncursesw6:armhf <none> 6.1+20181013-2+deb10u2
2021-03-18 21:51:28 status half-installed libncursesw6:armhf 6.1+20181013-2+deb10u2
2021-03-18 21:51:29 status unpacked libncursesw6:armhf 6.1+20181013-2+deb10u2
2021-03-18 21:51:30 install libtinfo6:armhf <none> 6.1+20181013-2+deb10u2
2021-03-18 21:51:30 status half-installed libtinfo6:armhf 6.1+20181013-2+deb10u2
2021-03-18 21:51:30 status unpacked libtinfo6:armhf 6.1+20181013-2+deb10u2
2021-03-18 21:51:31 install ncurses-base:all <none> 6.1+20181013-2+deb10u2
2021-03-18 21:51:31 status half-installed ncurses-base:all 6.1+20181013-2+deb10u2
2021-03-18 21:51:32 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2021-03-18 21:51:32 install ncurses-bin:armhf <none> 6.1+20181013-2+deb10u2
2021-03-18 21:51:32 status half-installed ncurses-bin:armhf 6.1+20181013-2+deb10u2
2021-03-18 21:51:33 status unpacked ncurses-bin:armhf 6.1+20181013-2+deb10u2
2021-03-18 21:51:34 install libhogweed4:armhf <none> 3.4.1-1
2021-03-18 21:51:34 status half-installed libhogweed4:armhf 3.4.1-1
2021-03-18 21:51:34 status unpacked libhogweed4:armhf 3.4.1-1
2021-03-18 21:51:35 install libnettle6:armhf <none> 3.4.1-1
2021-03-18 21:51:35 status half-installed libnettle6:armhf 3.4.1-1
2021-03-18 21:51:35 status unpacked libnettle6:armhf 3.4.1-1
2021-03-18 21:51:36 install libp11-kit0:armhf <none> 0.23.15-2+deb10u1
2021-03-18 21:51:36 status half-installed libp11-kit0:armhf 0.23.15-2+deb10u1
2021-03-18 21:51:36 status unpacked libp11-kit0:armhf 0.23.15-2+deb10u1
2021-03-18 21:51:37 install libpam-modules:armhf <none> 1.3.1-5
2021-03-18 21:51:37 status half-installed libpam-modules:armhf 1.3.1-5
2021-03-18 21:51:40 status unpacked libpam-modules:armhf 1.3.1-5
2021-03-18 21:51:40 install libpam-modules-bin:armhf <none> 1.3.1-5
2021-03-18 21:51:40 status half-installed libpam-modules-bin:armhf 1.3.1-5
2021-03-18 21:51:40 status unpacked libpam-modules-bin:armhf 1.3.1-5
2021-03-18 21:51:41 install libpam-runtime:all <none> 1.3.1-5
2021-03-18 21:51:41 status half-installed libpam-runtime:all 1.3.1-5
2021-03-18 21:51:42 status unpacked libpam-runtime:all 1.3.1-5
2021-03-18 21:51:44 install libpam0g:armhf <none> 1.3.1-5
2021-03-18 21:51:44 status half-installed libpam0g:armhf 1.3.1-5
2021-03-18 21:51:44 status unpacked libpam0g:armhf 1.3.1-5
2021-03-18 21:51:45 install libpcre3:armhf <none> 2:8.39-12
2021-03-18 21:51:45 status half-installed libpcre3:armhf 2:8.39-12
2021-03-18 21:51:46 status unpacked libpcre3:armhf 2:8.39-12
2021-03-18 21:51:46 upgrade perl-base:armhf 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2021-03-18 21:51:46 status half-configured perl-base:armhf 5.28.1-6+deb10u1
2021-03-18 21:51:46 status unpacked perl-base:armhf 5.28.1-6+deb10u1
2021-03-18 21:51:46 status half-installed perl-base:armhf 5.28.1-6+deb10u1
2021-03-18 21:51:49 status unpacked perl-base:armhf 5.28.1-6+deb10u1
2021-03-18 21:51:50 install sed:armhf <none> 4.7-1
2021-03-18 21:51:50 status half-installed sed:armhf 4.7-1
2021-03-18 21:51:51 status unpacked sed:armhf 4.7-1
2021-03-18 21:51:52 install login:armhf <none> 1:4.5-1.1
2021-03-18 21:51:52 status half-installed login:armhf 1:4.5-1.1
2021-03-18 21:51:53 status unpacked login:armhf 1:4.5-1.1
2021-03-18 21:51:54 install passwd:armhf <none> 1:4.5-1.1
2021-03-18 21:51:54 status half-installed passwd:armhf 1:4.5-1.1
2021-03-18 21:51:55 status unpacked passwd:armhf 1:4.5-1.1
2021-03-18 21:51:56 install libsystemd0:armhf <none> 241-7~deb10u6
2021-03-18 21:51:56 status half-installed libsystemd0:armhf 241-7~deb10u6
2021-03-18 21:51:57 status unpacked libsystemd0:armhf 241-7~deb10u6
2021-03-18 21:51:57 install libudev1:armhf <none> 241-7~deb10u6
2021-03-18 21:51:57 status half-installed libudev1:armhf 241-7~deb10u6
2021-03-18 21:51:58 status unpacked libudev1:armhf 241-7~deb10u6
2021-03-18 21:51:58 install sysvinit-utils:armhf <none> 2.93-8
2021-03-18 21:51:58 status half-installed sysvinit-utils:armhf 2.93-8
2021-03-18 21:51:59 status unpacked sysvinit-utils:armhf 2.93-8
2021-03-18 21:51:59 install tar:armhf <none> 1.30+dfsg-6
2021-03-18 21:51:59 status half-installed tar:armhf 1.30+dfsg-6
2021-03-18 21:52:01 status unpacked tar:armhf 1.30+dfsg-6
2021-03-18 21:52:02 install tzdata:all <none> 2021a-0+deb10u1
2021-03-18 21:52:02 status half-installed tzdata:all 2021a-0+deb10u1
2021-03-18 21:52:04 status unpacked tzdata:all 2021a-0+deb10u1
2021-03-18 21:52:05 install bsdutils:armhf <none> 1:2.33.1-0.1
2021-03-18 21:52:05 status half-installed bsdutils:armhf 1:2.33.1-0.1
2021-03-18 21:52:05 status unpacked bsdutils:armhf 1:2.33.1-0.1
2021-03-18 21:52:07 install fdisk:armhf <none> 2.33.1-0.1
2021-03-18 21:52:07 status half-installed fdisk:armhf 2.33.1-0.1
2021-03-18 21:52:07 status unpacked fdisk:armhf 2.33.1-0.1
2021-03-18 21:52:08 install libblkid1:armhf <none> 2.33.1-0.1
2021-03-18 21:52:08 status half-installed libblkid1:armhf 2.33.1-0.1
2021-03-18 21:52:08 status unpacked libblkid1:armhf 2.33.1-0.1
2021-03-18 21:52:09 install libfdisk1:armhf <none> 2.33.1-0.1
2021-03-18 21:52:09 status half-installed libfdisk1:armhf 2.33.1-0.1
2021-03-18 21:52:10 status unpacked libfdisk1:armhf 2.33.1-0.1
2021-03-18 21:52:11 install libmount1:armhf <none> 2.33.1-0.1
2021-03-18 21:52:11 status half-installed libmount1:armhf 2.33.1-0.1
2021-03-18 21:52:11 status unpacked libmount1:armhf 2.33.1-0.1
2021-03-18 21:52:12 install libsmartcols1:armhf <none> 2.33.1-0.1
2021-03-18 21:52:12 status half-installed libsmartcols1:armhf 2.33.1-0.1
2021-03-18 21:52:13 status unpacked libsmartcols1:armhf 2.33.1-0.1
2021-03-18 21:52:13 install libuuid1:armhf <none> 2.33.1-0.1
2021-03-18 21:52:13 status half-installed libuuid1:armhf 2.33.1-0.1
2021-03-18 21:52:14 status unpacked libuuid1:armhf 2.33.1-0.1
2021-03-18 21:52:14 install mount:armhf <none> 2.33.1-0.1
2021-03-18 21:52:14 status half-installed mount:armhf 2.33.1-0.1
2021-03-18 21:52:15 status unpacked mount:armhf 2.33.1-0.1
2021-03-18 21:52:16 install util-linux:armhf <none> 2.33.1-0.1
2021-03-18 21:52:16 status half-installed util-linux:armhf 2.33.1-0.1
2021-03-18 21:52:17 status unpacked util-linux:armhf 2.33.1-0.1
2021-03-18 21:52:18 install liblzma5:armhf <none> 5.2.4-1
2021-03-18 21:52:18 status half-installed liblzma5:armhf 5.2.4-1
2021-03-18 21:52:18 status unpacked liblzma5:armhf 5.2.4-1
2021-03-18 21:52:19 install zlib1g:armhf <none> 1:1.2.11.dfsg-1
2021-03-18 21:52:19 status half-installed zlib1g:armhf 1:1.2.11.dfsg-1
2021-03-18 21:52:20 status unpacked zlib1g:armhf 1:1.2.11.dfsg-1
2021-03-18 21:52:20 startup packages configure
2021-03-18 21:52:20 configure debian-archive-keyring:all 2019.1 <none>
2021-03-18 21:52:20 status unpacked debian-archive-keyring:all 2019.1
2021-03-18 21:52:22 status half-configured debian-archive-keyring:all 2019.1
2021-03-18 21:52:22 status installed debian-archive-keyring:all 2019.1
2021-03-18 21:52:22 configure libaudit-common:all 1:2.8.4-3 <none>
2021-03-18 21:52:22 status unpacked libaudit-common:all 1:2.8.4-3
2021-03-18 21:52:23 status half-configured libaudit-common:all 1:2.8.4-3
2021-03-18 21:52:23 status installed libaudit-common:all 1:2.8.4-3
2021-03-18 21:52:23 configure libsemanage-common:all 2.8-2 <none>
2021-03-18 21:52:23 status unpacked libsemanage-common:all 2.8-2
2021-03-18 21:52:23 status half-configured libsemanage-common:all 2.8-2
2021-03-18 21:52:23 status installed libsemanage-common:all 2.8-2
2021-03-18 21:52:23 configure ncurses-base:all 6.1+20181013-2+deb10u2 <none>
2021-03-18 21:52:23 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2021-03-18 21:52:24 status half-configured ncurses-base:all 6.1+20181013-2+deb10u2
2021-03-18 21:52:24 status installed ncurses-base:all 6.1+20181013-2+deb10u2
2021-03-18 21:52:24 configure gcc-8-base:armhf 8.3.0-6 <none>
2021-03-18 21:52:24 status unpacked gcc-8-base:armhf 8.3.0-6
2021-03-18 21:52:24 status half-configured gcc-8-base:armhf 8.3.0-6
2021-03-18 21:52:24 status installed gcc-8-base:armhf 8.3.0-6
2021-03-18 21:52:24 configure libc6:armhf 2.28-10 <none>
2021-03-18 21:52:24 status unpacked libc6:armhf 2.28-10
2021-03-18 21:52:25 status half-configured libc6:armhf 2.28-10
2021-03-18 21:52:28 status installed libc6:armhf 2.28-10
2021-03-18 21:52:28 configure libudev1:armhf 241-7~deb10u6 <none>
2021-03-18 21:52:28 status unpacked libudev1:armhf 241-7~deb10u6
2021-03-18 21:52:28 status half-configured libudev1:armhf 241-7~deb10u6
2021-03-18 21:52:28 status installed libudev1:armhf 241-7~deb10u6
2021-03-18 21:52:28 configure libsepol1:armhf 2.8-1 <none>
2021-03-18 21:52:28 status unpacked libsepol1:armhf 2.8-1
2021-03-18 21:52:28 status half-configured libsepol1:armhf 2.8-1
2021-03-18 21:52:28 status installed libsepol1:armhf 2.8-1
2021-03-18 21:52:28 configure libattr1:armhf 1:2.4.48-4 <none>
2021-03-18 21:52:28 status unpacked libattr1:armhf 1:2.4.48-4
2021-03-18 21:52:29 status half-configured libattr1:armhf 1:2.4.48-4
2021-03-18 21:52:29 status installed libattr1:armhf 1:2.4.48-4
2021-03-18 21:52:29 configure libtasn1-6:armhf 4.13-3 <none>
2021-03-18 21:52:29 status unpacked libtasn1-6:armhf 4.13-3
2021-03-18 21:52:29 status half-configured libtasn1-6:armhf 4.13-3
2021-03-18 21:52:29 status installed libtasn1-6:armhf 4.13-3
2021-03-18 21:52:29 configure debianutils:armhf 4.8.6.1 <none>
2021-03-18 21:52:29 status unpacked debianutils:armhf 4.8.6.1
2021-03-18 21:52:30 status half-configured debianutils:armhf 4.8.6.1
2021-03-18 21:52:30 status installed debianutils:armhf 4.8.6.1
2021-03-18 21:52:30 configure mawk:armhf 1.3.3-17+b3 <none>
2021-03-18 21:52:30 status unpacked mawk:armhf 1.3.3-17+b3
2021-03-18 21:52:30 status half-configured mawk:armhf 1.3.3-17+b3
2021-03-18 21:52:30 status installed mawk:armhf 1.3.3-17+b3
2021-03-18 21:52:30 configure libdebconfclient0:armhf 0.249 <none>
2021-03-18 21:52:30 status unpacked libdebconfclient0:armhf 0.249
2021-03-18 21:52:30 status half-configured libdebconfclient0:armhf 0.249
2021-03-18 21:52:31 status installed libdebconfclient0:armhf 0.249
2021-03-18 21:52:31 configure base-files:armhf 10.3+deb10u8 <none>
2021-03-18 21:52:31 status unpacked base-files:armhf 10.3+deb10u8
2021-03-18 21:52:32 status half-configured base-files:armhf 10.3+deb10u8
2021-03-18 21:52:32 status installed base-files:armhf 10.3+deb10u8
2021-03-18 21:52:32 configure libbz2-1.0:armhf 1.0.6-9.2~deb10u1 <none>
2021-03-18 21:52:32 status unpacked libbz2-1.0:armhf 1.0.6-9.2~deb10u1
2021-03-18 21:52:32 status half-configured libbz2-1.0:armhf 1.0.6-9.2~deb10u1
2021-03-18 21:52:32 status installed libbz2-1.0:armhf 1.0.6-9.2~deb10u1
2021-03-18 21:52:32 configure base-passwd:armhf 3.5.46 <none>
2021-03-18 21:52:32 status unpacked base-passwd:armhf 3.5.46
2021-03-18 21:52:33 status half-configured base-passwd:armhf 3.5.46
2021-03-18 21:52:34 status installed base-passwd:armhf 3.5.46
2021-03-18 21:52:35 configure libdb5.3:armhf 5.3.28+dfsg1-0.5 <none>
